Rank	Company	Symbol	Allocation (%)	Cumulative Weight (%)	as of
81	Diamondback Energy Inc	FANG	0.21	97.15	11/1/2025
81	Coca-Cola Europacific Partners PLC	CCEP	0.21	97.36	11/1/2025
84	Keurig Dr Pepper Inc	KDP	0.19	97.55	11/1/2025
85	Cognizant Technology Solutions Corp	CTSH	0.18	97.73	11/1/2025
85	GE HealthCare Technologies Inc	GEHC	0.18	97.91	11/1/2025
87	Microchip Technology Inc	MCHP	0.17	98.08	11/1/2025
88	Charter Communications Inc	CHTR	0.16	98.24	11/1/2025
88	Verisk Analytics Inc	VRSK	0.16	98.4	11/1/2025
90	CoStar Group Inc	CSGP	0.15	98.55	11/1/2025
90	Kraft Heinz Co/The	KHC	0.15	98.7	11/1/2025
90	Old Dominion Freight Line Inc	ODFL	0.15	98.85	11/1/2025
93	Atlassian Corp	TEAM	0.14	98.99	11/1/2025
94	ARM Holdings PLC	ARM	0.12	99.11	11/1/2025
94	Dexcom Inc	DXCM	0.12	99.23	11/1/2025
94	Biogen Inc	BIIB	0.12	99.35	11/1/2025
97	Trade Desk Inc/The	TTD	0.11	99.46	11/1/2025
97	CDW Corp/DE	CDW	0.11	99.57	11/1/2025
99	ON Semiconductor Corp	ON	0.1	99.67	11/1/2025
99	GLOBALFOUNDRIES Inc	GFS	0.1	99.77	11/1/2025
99	Lululemon Athletica Inc	LULU	0.1	99.87	11/1/2025
